,StationId,R,Lat,Lng,toV_u30,frV_u30,toV_3060,frV_3060,toV_6090,frV_6090,toV_o90,frV_o90
2474,2565,3.962566880279657,10.784824,106.693372,0.20119567716716485,0.1975166704989653,0.5219590710508163,0.5044837893768682,0.16164635548401932,0.18418027132674178,0.07610945044837894,0.10209243504253851
2475,2566,4.2184265980530675,10.783211,106.695201,0.18555989882731663,0.18510002299379166,0.5118418027132674,0.5054035410439182,0.18532996091055415,0.19498735341457807,0.07748907794895378,0.10209243504253851
2476,2567,4.445585566951942,10.781741,106.696794,0.21016325592090135,0.17268337548861806,0.5072430443780179,0.5074729822947804,0.1653253621522189,0.20326511841802714,0.07794895378247874,0.10462175212692573
2477,2573,5.522061882470653,10.785077,106.708628,0.18165095424235456,0.13290411588871004,0.49206714187169465,0.48401931478500804,0.2062543113359393,0.24327431593469764,0.08300758795125317,0.13014486088756036
2478,2579,5.642158457545032,10.789113,106.710779,0.1706139342377558,0.012876523338698551,0.4890779489537825,0.28052425845021844,0.21936077259140033,0.4394113589330881,0.08415727753506554,0.2577604046907335
2479,2574,6.401798300190327,10.793266,106.718445,0.09749367670728903,0.11174982754656243,0.5219590710508163,0.4755116118647965,0.24580363301908484,0.27247643136353183,0.09795355254081398,0.1308346746378478
2480,2581,6.533855837013106,10.796601,106.719909,0.09473442170613934,0.07449988503104162,0.4913773281214072,0.4472292481030122,0.27431593469763166,0.31593469763163945,0.102322372959301,0.15244883881352034
2481,2535,5.802844488407702,10.833517,106.700442,0.014026212922510922,0.026672798344447,0.3478960680616234,0.32030351805012647,0.36583122556909636,0.42124626350885264,0.2347666130144861,0.18946884341227868
2482,7596,5.764070991695189,10.830893,106.702137,0.017475281673948035,0.02989192917912164,0.36238215681765923,0.3368590480570246,0.3885950793285813,0.4097493676707289,0.19360772591400321,0.18073120257530467
2483,7597,5.687323330094853,10.828438,106.70307,0.015175902506323292,0.032191308346746376,0.35594389514830993,0.35295470223039777,0.3812370659921821,0.3954932168314555,0.2097033800873764,0.18188089215911704
2484,7598,5.774981650941474,10.830861,106.702287,0.014256150839273396,0.03610025293170844,0.3520349505633479,0.3722694872384456,0.373419176822258,0.38146700390894456,0.2223499655093125,0.17268337548861806
2485,2544,6.14973957173912,10.834044,106.704122,0.012646585421936076,0.05679466544033111,0.3449068751437112,0.41549781558979076,0.34237755805932396,0.3389284893078869,0.262359163025983,0.15152908714647045
2486,2537,6.052838789714009,10.830861,106.705436,0.01218670958841113,0.06438261669349275,0.3352494826396873,0.4246953322602897,0.34812600597838583,0.32927109680386296,0.2595999080248333,0.14440101172683376
2487,2546,5.961038163425486,10.828775,106.705855,0.008277765003449069,0.07013106461255461,0.29317084387215453,0.4341227868475512,0.37364911473902046,0.31685444929868933,0.27960450678316856,0.1411818808921591
2488,2539,5.866218145024383,10.826346,106.706364,0.02345366750977236,0.07863876753276615,0.23752586801563577,0.4426304897677627,0.5380547252241895,0.30604736721085307,0.16279604506783169,0.13497355713957232
