nodev,nPathsTime,nPathsDist,nPathsHops,cbHops,cbDist,cbTime
3078,164630,201461,176784,0.009348975316682894,0.010653984049881509,0.008706227975300395
2091,321353,521506,145498,0.007694458834661099,0.027579117575697063,0.016994305281824138
7235,113645,41077,316825,0.016754848316069656,0.002172299863581451,0.006009957348314483
57,618857,766547,458363,0.02423988807290661,0.04053776915375443,0.03272738945581289
2224,137247,55319,162668,0.008602470341287522,0.0029254681732712295,0.007258116205588612
2599,357095,428251,252025,0.013327990678947226,0.0226474569437549,0.01888447111000361
596,650873,400510,77596,0.0041035562532430875,0.021180412843270126,0.03442051096985783
3211,334736,360591,245123,0.01296298803370928,0.019069352194870586,0.017702046574379838
425,94593,8640,8640,0.00045691435161632394,0.00045691435161632394,0.00500241889611608
3591,126522,121354,117750,0.006227044548937748,0.006417637063199927,0.006690939536481544
2729,152418,179591,145501,0.007694617485477633,0.00949741959735269,0.008060413384798248
2448,25936,84231,25936,0.0013715891925371502,0.004454438975809558,0.0013715891925371502
2089,220880,222640,48380,0.0025585088346293697,0.011774005931002125,0.011680930785302504
3725,181376,179023,214212,0.011328302903754165,0.009467381709422356,0.00959181683319009
3122,295371,301593,315411,0.016680070897876893,0.015949325236923842,0.015620283443433474
2356,556754,446688,151693,0.008022072770802665,0.023622471978563948,0.029443158902754032
3640,1075372,8653,8653,0.00045760183848796886,0.00045760183848796886,0.0568695486257349
2275,94026,168433,95296,0.005039596070790417,0.008907344327059292,0.004972433891791259
978,75857,138304,45863,0.0024254007995578083,0.007314014176613897,0.004011591663259199
370,691382,201068,84877,0.00448860178496976,0.010633200792915628,0.03656277294550894
1291,174800,148907,264198,0.01397174280883444,0.007874739045848605,0.009244054243348777
667,135308,130461,117815,0.006230481983295973,0.006899248058589958,0.007155574894502495
2038,159627,181890,145055,0.007671031397419661,0.00961899900642282,0.008441651296928119
74,400849,427802,309094,0.016346005161862968,0.022623712204880395,0.021198340385538406
1884,114456,361307,23089,0.0012210295676469102,0.01910721685641657,0.006052845952384024
1233,4326,4326,4326,0.00022877447744122886,0.00022877447744122886,0.00022877447744122886
2433,81331,105153,57872,0.003060480018141192,0.005560869770313809,0.004301076519827227
434,1434225,994610,2165122,0.11449945773150909,0.052598562877443515,0.0758469891142271
1579,21612,69930,21612,0.0011429204823069437,0.0036981505333946217,0.0011429204823069437
2116,619547,132521,101429,0.005363931223390292,0.007008188285942924,0.03276387914361559
2157,107995,172163,129046,0.006824417756791682,0.009104600175615877,0.005711164977176494
1572,203498,399996,82063,0.004339787319061388,0.021153230670037396,0.010761707954307718
2765,103549,166021,60895,0.0032203471576013943,0.008779789070566403,0.005476044467073927
2719,233587,238127,225083,0.011903200579265862,0.012593014329553284,0.012352922760532669
197,55587,111269,48618,0.002571095132741023,0.005884305901619994,0.0029396409795482176
1154,1887208,8647,8647,0.00045728453685490197,0.00045728453685490197,0.09980236338948374
3644,1075372,17301,4329,0.0002289331282577623,0.000914939258948382,0.0568695486257349
3116,295371,301593,315411,0.016680070897876893,0.015949325236923842,0.015620283443433474
1422,120764,120764,120764,0.00638643573594835,0.00638643573594835,0.00638643573594835
2464,86167,191994,65257,0.0034510254448410246,0.010153334956507465,0.004556821636079142
141,66223,553906,49948,0.0026414303280708506,0.029292546394258278,0.003502111007764794
7536,29470,42790,48934,0.0025878063520825456,0.002262889479822049,0.0015584798544135494
