node,R,,toV_u30,frV_u30,toV_3060,frV_3060,toV_6090,frV_6090,toV_o90,frV_o90,toV_u60,frV_u60,toV_u90,frV_u90,,,,,
8,5379.382493,5.379382493,0.34329731,0.334329731,0.406990113,0.419866636,0.141641757,0.139572315,0.10048287,0.098643366,0.750287422,0.754196367,0.891929179,0.893768682,,1,35,0,1.544068044
1,5491.166261,5.491166261,0.303288112,0.299609106,0.423775581,0.444469993,0.159576914,0.148769832,0.106461255,0.100252932,0.727063693,0.744079099,0.886640607,0.892848931,,2,119,0.301029996,2.075546961
2,5400.838129,5.400838129,0.29914923,0.302828236,0.426764774,0.444240055,0.160496666,0.146700391,0.107151069,0.099793056,0.725914003,0.747068292,0.886410669,0.893768682,,3,264,0.477121255,2.421603927
3,5302.21136,5.30221136,0.274315935,0.332720166,0.434352725,0.425155208,0.173373189,0.140492067,0.11151989,0.095194298,0.708668659,0.757875374,0.882041849,0.898367441,,4,539,0.602059991,2.731588765
5,5170.438383,5.170438383,0.269027363,0.338238676,0.434122787,0.422395953,0.176822258,0.137272936,0.112669579,0.094734422,0.703150149,0.760634629,0.879972407,0.897907565,,5,977,0.698970004,2.989894564
4,5124.758285,5.124758285,0.258910094,0.236836054,0.437341918,0.464474592,0.181421016,0.176132444,0.115198896,0.115428834,0.696252012,0.701310646,0.877673028,0.87744309,,6,1404,0.77815125,3.147367108
7,5114.805403,5.114805403,0.250402391,0.248792826,0.440561049,0.459875834,0.185329961,0.170843872,0.117268338,0.114049207,0.69096344,0.708668659,0.876293401,0.879512532,,7,1687,0.84509804,3.227115083
9,5095.286843,5.095286843,0.24281444,0.257990343,0.442400552,0.457346516,0.189928719,0.165785238,0.118647965,0.112669579,0.685214992,0.715336859,0.875143711,0.881122097,,8,1972,0.903089987,3.294906911
12,5077.217993,5.077217993,0.232237296,0.266268108,0.446769372,0.455507013,0.193607726,0.159806852,0.120947344,0.111979765,0.679006668,0.721775121,0.872614394,0.881581973,,9,2239,0.954242509,3.350054094
6,5062.519109,5.062519109,0.225109221,0.280064383,0.445159807,0.450448379,0.200275926,0.15336859,0.123476661,0.110140262,0.670269027,0.730512762,0.870544953,0.883881352,,10,2440,1,3.387389826
10,5055.716917,5.055716917,0.214762014,0.290871465,0.448149,0.445619683,0.20418487,0.14785008,0.126005978,0.108760635,0.662911014,0.736491147,0.867095884,0.884341228,,11,2602,1.041392685,3.415307292
11,5107.28798,5.10728798,0.294090596,0.263278915,0.455736951,0.444469993,0.138652564,0.174752817,0.104391814,0.1103702,0.749827547,0.707748908,0.88848011,0.882501725,,12,2824,1.079181246,3.450864692
14,5198.829823,5.198829823,0.294550471,0.272016556,0.451368131,0.442400552,0.143021384,0.169234307,0.103931938,0.10922051,0.745918602,0.714417107,0.888939986,0.883651414,,13,3071,1.113943352,3.487279816
16,5275.226708,5.275226708,0.270177052,0.110140262,0.465164406,0.507932858,0.150839273,0.241204875,0.106921131,0.133823868,0.735341458,0.61807312,0.886180731,0.859277995,,14,3239,1.146128036,3.510410948
17,5305.488826,5.305488826,0.254541274,0.119797655,0.471372729,0.512301679,0.1588871,0.232237296,0.10922051,0.129684985,0.725914003,0.632099333,0.884801104,0.864336629,,15,3349,1.176091259,3.524915148
13,5319.004247,5.319004247,0.232697172,0.135203495,0.477810991,0.513911244,0.169694183,0.218670959,0.113359393,0.12577604,0.710508163,0.649114739,0.880202345,0.867785698,,16,3460,1.204119983,3.539076099
15,5341.333063,5.341333063,0.218211083,0.146930329,0.482409749,0.515060934,0.177971948,0.208553691,0.114968958,0.123016785,0.700620832,0.661991262,0.87859278,0.870544953,,17,3594,1.230448921,3.555578073
19,5366.120434,5.366120434,0.206484249,0.157507473,0.485169004,0.512301679,0.184870085,0.203495056,0.117728213,0.120947344,0.691653254,0.669809152,0.876523339,0.873304208,,18,3697,1.255272505,3.567849451
20,5462.104927,5.462104927,0.176362382,0.183950333,0.493676707,0.507013106,0.200505863,0.185100023,0.122326972,0.116808462,0.670039089,0.69096344,0.870544953,0.876063463,,19,3762,1.278753601,3.575418791
18,5456.092442,5.456092442,0.190158657,0.197746608,0.482639687,0.5033341,0.19866636,0.177282134,0.122326972,0.115428834,0.672798344,0.701080708,0.871464705,0.878362842,,20,3812,1.301029996,3.581152892
22,5342.574011,5.342574011,0.168084617,0.217751207,0.490457576,0.499425155,0.210163256,0.164865486,0.126005978,0.112669579,0.658542194,0.717176362,0.86870545,0.882041849,,21,3844,1.322219295,3.584783379
21,5313.569712,5.313569712,0.157737411,0.224189469,0.491837204,0.498275466,0.217061393,0.160496666,0.127155668,0.110830076,0.649574615,0.722464934,0.866636008,0.8829616,,22,3883,1.342422681,3.589167391
23,5264.866179,5.264866179,0.144171074,0.237525868,0.493216831,0.495516211,0.224189469,0.151988963,0.131524488,0.108070821,0.637387905,0.733042079,0.861577374,0.885031042,,23,3907,1.361727836,3.591843411
24,5234.388153,5.234388153,0.134743619,0.245803633,0.494596459,0.492527018,0.230627731,0.148769832,0.13359393,0.106461255,0.629340078,0.738330651,0.859967809,0.887100483,,24,3924,1.380211242,3.593728999
25,5206.94875,5.20694875,0.255231088,0.25936997,0.464934468,0.487238446,0.163715797,0.143021384,0.109680386,0.103931938,0.720165555,0.746608416,0.883881352,0.8896298,,25,3937,1.397940009,3.595165415
26,5198.679599,5.198679599,0.301908485,0.272936307,0.458496206,0.480570246,0.131524488,0.136583123,0.10048287,0.102322373,0.760404691,0.753506553,0.891929179,0.890089676,,26,3954,1.414973348,3.597036665
27,5187.378806,5.187378806,0.32122327,0.276615314,0.44699931,0.481030122,0.126235916,0.133134054,0.097723615,0.101402621,0.76822258,0.757645436,0.894458496,0.89077949,,27,3981,1.431363764,3.599992178
7266,5437.254997,5.437254997,0.286042768,0.298689354,0.463784778,0.466544033,0.13911244,0.126695792,0.100942745,0.097953553,0.749827547,0.765233387,0.888939986,0.891929179,,28,4009,1.447158031,3.603036056
1256,5549.420772,5.549420772,0.285352955,0.306277305,0.46470453,0.461715337,0.13911244,0.124396413,0.100712808,0.097493677,0.750057484,0.767992642,0.889169924,0.892389055,,29,4033,1.462397998,3.605628222
32,5743.191507,5.743191507,0.27707519,0.234306737,0.470912854,0.489077949,0.143021384,0.156357783,0.102322373,0.113589331,0.747988043,0.723384686,0.891009427,0.87974247,,30,4058,1.477121255,3.608312043
31,5792.366357,5.792366357,0.24281444,0.258450218,0.48126006,0.491607266,0.162566107,0.135433433,0.107381007,0.108530697,0.7240745,0.750057484,0.886640607,0.885490917,,31,4088,1.491361694,3.611510887
34,5613.062822,5.613062822,0.227868476,0.263508853,0.483099563,0.488848011,0.172913313,0.136353185,0.109910324,0.105081628,0.710968039,0.752356864,0.883881352,0.888710048,,32,4124,1.505149978,3.615318657
33,5576.661867,5.576661867,0.216601518,0.239595309,0.483099563,0.496206024,0.181421016,0.151529087,0.112439641,0.106231318,0.699701081,0.735801334,0.881122097,0.887330421,,33,4139,1.51851394,3.616895426
79,5807.143375,5.807143375,0.249252702,0.271786618,0.489997701,0.482179811,0.140722005,0.138652564,0.114279145,0.101632559,0.739250402,0.753966429,0.879972407,0.892618993,,34,4156,1.531478917,3.618675539
76,5868.884835,5.868884835,0.230627731,0.268567487,0.497125776,0.481719936,0.149459646,0.142561508,0.116348586,0.100712808,0.727753507,0.750287422,0.877213152,0.892848931,,35,4190,1.544068044,3.622214023
3691,5637.778878,5.637778878,0.298919292,0.280294321,0.466544033,0.47574155,0.125316165,0.136583123,0.101172683,0.09933318,0.765463325,0.75603587,0.89077949,0.892618993,,36,4229,1.556302501,3.626237685
2028,5521.809331,5.521809331,0.300758795,0.285812831,0.463324902,0.472752357,0.125086227,0.133363992,0.10048287,0.097723615,0.764083697,0.758565187,0.889169924,0.891929179,,37,4246,1.568201724,3.62797999
4223,5306.988062,5.306988062,0.290641527,0.296849851,0.46907335,0.465394344,0.128995171,0.131064613,0.101632559,0.097033801,0.759714877,0.762244194,0.888710048,0.893308807,,38,4258,1.579783597,3.629205657
7564,5445.249772,5.445249772,0.286042768,0.280294321,0.471142791,0.471142791,0.131064613,0.140032191,0.102092435,0.098873304,0.75718556,0.751437112,0.888250172,0.891469303,,39,4269,1.591064607,3.630326155
120,5161.292517,5.161292517,0.298689354,0.310646126,0.461485399,0.461025523,0.130834675,0.124396413,0.100942745,0.095884111,0.760174753,0.771671649,0.891009427,0.896068062,,40,4276,1.602059991,3.631037697
121,5165.750298,5.165750298,0.318234077,0.159576914,0.449758565,0.50218441,0.126465854,0.208323753,0.097953553,0.122326972,0.767992642,0.661761324,0.894458496,0.870085077,,41,4280,1.612783857,3.631443769
