nodev,nPathsTime,nPathsDist,nPathsHops,cbHops,cbDist,cbTime
1316,377056,397003,396234,0.020954282546104454,0.02099495003874253,0.019940080759611647
4042,114392,114164,103566,0.005476943488367616,0.006037403939574769,0.0060494614016313114
697,142183,135961,122143,0.006459362227948224,0.007190107888901276,0.007519149682391642
3367,99271,99271,99271,0.005249808402697233,0.005249808402697233,0.005249808402697233
940,188150,188150,188303,0.009958141568565816,0.00995005037692261,0.00995005037692261
1398,53746,186718,46261,0.0024464484745512455,0.009874321053830645,0.002842282261802193
3106,233766,218114,226930,0.012000876598644954,0.011534654732458667,0.012362388925919164
2003,71507,102683,97805,0.0051722810370178895,0.005430247264701272,0.0037815479792857034
3974,137247,55319,162668,0.008602470341287522,0.0029254681732712295,0.007258116205588612
2416,89154,253076,80951,0.00428098074973299,0.013383571348339444,0.004714784965740943
1648,143439,146688,51762,0.0027373611884680743,0.0077573903252193665,0.007585571490913645
676,137855,131633,117815,0.006230481983295973,0.006961227644249024,0.007290269437739391
7598,60500,60500,60500,0.0031994581334244907,0.0031994581334244907,0.0031994581334244907
4166,43456,47392,23987,0.0012685190453959215,0.002506259832384355,0.002298109961092474
829,461429,467211,1012313,0.053534761345807376,0.024707802214469252,0.02440202920740379
4147,8654,4329,4329,0.0002289331282577623,0.0002289331282577623,0.00045765472209348
1527,125040,123102,232157,0.012277299204651726,0.006510077605633415,0.006612566033114021
3475,334884,334884,335114,0.017722036577263053,0.017709873347995488,0.017709873347995488
2577,30256,30256,30256,0.001600046368345312,0.001600046368345312,0.001600046368345312
3558,265265,481122,83464,0.004413877250382507,0.025443466050734838,0.014028169615914835
3417,179277,216225,72933,0.003856960000744601,0.011434757601648107,0.009480814145222189
3091,64780,64780,64780,0.0034257999650122066,0.0034257999650122066,0.0034257999650122066
2724,268514,749416,43790,0.0023157730853331972,0.039631820107742945,0.014199988450220557
3711,25934,25934,25934,0.001371483425326128,0.001371483425326128,0.001371483425326128
879,199801,221100,124665,0.006592734681047341,0.011692565178514957,0.010566197264733002
2007,110362,140887,120147,0.006353806551347972,0.007450612529649193,0.005836340471421383
977,799666,666293,451539,0.02387901034889853,0.03523597616683974,0.04228922128467816
3541,42954,187180,42877,0.002267490353501519,0.009898753279576795,0.0022715623911258773
528,179533,426548,125612,0.006642815455466399,0.022557396163569415,0.009494352348233042
