node,totDeg,nLines,nServices,cbHops,cbDist,cbTime,toV_u30,toV_3060,toV_6090,toV_u60,toV_u90,toV_o90
8,12,29,2526,0.26870035301224643,0.11610678517397187,0.28892555625291033,0.3432973097263739,0.40699011266957924,0.14164175672568408,0.7502874223959531,0.8919291791216372,0.1004828696252012
1,7,6,586,0.5317855338813868,0.07175788087316379,0.09231267417815113,0.30328811220970336,0.42377558059323983,0.15957691423315704,0.7270636928029433,0.8866406070361003,0.10646125546102553
2,5,7,533,0.2292036764671478,0.07194257852921059,0.06657394514280764,0.29914922970797886,0.426764773511152,0.16049666590020695,0.7259140032191308,0.8864106691193377,0.10715106921131294
3,3,7,602,0.05948700461744195,0.1672784625721971,0.14746967067235064,0.27431593469763166,0.43435272476431364,0.1733731892389055,0.7086686594619452,0.8820418487008508,0.11151988962979996
5,6,8,663,0.5579218074607175,0.1858797063894556,0.20897394367622946,0.26902736261209476,0.4341227868475512,0.1768222579903426,0.7031501494596459,0.8799724074499885,0.11266957921361233
4,3,2,169,0.008883963391281445,0.13233248708768594,0.02137626744354441,0.25891009427454587,0.4373419176822258,0.1814210163255921,0.6962520119567717,0.8776730282823637,0.11519889629799954
7,2,2,169,0.008994682957457733,0.13830302217510998,0.02917729431856265,0.25040239135433434,0.4405610485169004,0.18532996091055415,0.6909634398712348,0.876293400781789,0.1172683375488618
9,2,2,169,0.008994682957457733,0.13830302217510998,0.02917729431856265,0.24281444010117267,0.44240055185100025,0.18992871924580362,0.685214991952173,0.8751437111979765,0.11864796504943666
12,2,2,169,0.008883963391281445,0.13233248708768594,0.02137626744354441,0.23223729593009887,0.44676937226948726,0.19360772591400321,0.6790066681995861,0.8726143941135893,0.1209473442170614
6,2,2,169,0.008883963391281445,0.13233248708768594,0.02137626744354441,0.22510922051046217,0.4451598068521499,0.20027592550011497,0.6702690273626121,0.870544952862727,0.1234766613014486
10,3,2,169,0.008883963391281445,0.13233248708768594,0.02137626744354441,0.21476201425615085,0.44814899977006206,0.20418487008507702,0.6629110140262129,0.8670958841112899,0.12600597838583583
