ccHopsNorm,ccDistNorm,ccTimeNorm
0.038485470246359225,5.092751559427162e-05,0.00035129303137328437
0.037867956766496326,4.916462080399813e-05,0.00033399481571075903
0.03648447225077967,4.8498836770205374e-05,0.00033197338377057614
0.03588413872280878,4.7701968701136304e-05,0.0003230616117873506
0.03691031358563464,4.739421050159393e-05,0.00032067295329666387
0.03561088890872427,4.69568720958674e-05,0.0003164638390224248
0.03438501530900514,4.6558710905831446e-05,0.00031305288180637285
0.03324073227154802,4.622309696873691e-05,0.00031014912702803193
0.03217015649715272,4.5886168265556776e-05,0.00030725129635131716
0.031166388580224552,4.5427689815807696e-05,0.0003033398200840064
0.030223364156799163,4.5042996548912076e-05,0.0003000686956616125
0.03679836476788008,5.016711237746101e-05,0.0003365602214166994
0.03553889963712141,5.078353200248146e-05,0.00033627185011236805
0.034321447432297356,4.977754824042567e-05,0.0003275750667674293
0.033184644682424894,4.9124807287384855e-05,0.00032200372463283406
0.032120734446169336,4.8294388742550807e-05,0.0003149150718896389
0.031122923640590303,4.7685953676140156e-05,0.0003097626596081522
0.0301852378432906,4.723544383096472e-05,0.0003059946757541936
0.02930240157442303,4.616427166736611e-05,0.00029708162528075316
0.03004290728295813,4.636929380122961e-05,0.00030037222322934503
0.02916746622573132,4.55798774249317e-05,0.00029396305276482886
0.02834160071738221,4.523597596400956e-05,0.0002911911687106628
0.027561215574064095,4.472179606294432e-05,0.0002870561873474693
0.02682265456834598,4.438237968411231e-05,0.0002843311635563193
0.034803734849954686,4.7831969783126176e-05,0.00032188364295007157
0.036632799511982075,5.085544715440508e-05,0.00034429636250777983
0.03738608581689575,5.260545504824997e-05,0.0003537333285791197
0.03680779895588033,5.0873707420548836e-05,0.0003408315681849148
0.03666086226004419,5.0788736149266425e-05,0.0003410410766096744
0.03665711807638741,5.021199232998815e-05,0.00033668894179059915
0.036650567594932626,4.821603998907865e-05,0.00032237294818701704
0.03535047113116622,4.751613700226722e-05,0.00031624592557859564
0.03414134519140179,4.7023085257812556e-05,0.0003117287170136497
0.036627503593962954,5.003719997443623e-05,0.0003258815466061823
0.03563475363720167,4.937024074619737e-05,0.00031995914730078716
0.036277353951681524,5.1531120570989985e-05,0.000347512360661454
0.03634991478286178,5.178191531054319e-05,0.0003504406933697214
0.035762574335093264,5.1791161820964085e-05,0.000345896399193182
0.03541674672418258,5.154282221519587e-05,0.0003437352273530608
0.03618439917519064,5.1684339105919806e-05,0.0003460481115829711
0.03665431044049914,5.2438458666273915e-05,0.0003518956235932947
