nodev,nPathsTime,nPathsDist,nPathsHops,cbHops,cbDist,cbTime
2459,78373,83061,78554,0.004154218747322767,0.004392565157361515,0.004144646814725249
2822,120172,121070,192581,0.010184377632942509,0.0064026181192347615,0.00635512864148575
2364,556754,446688,151693,0.008022072770802665,0.023622471978563948,0.029443158902754032
7272,75789,4306,4306,0.0002277168053310059,0.0002277168053310059,0.004007995578084442
1025,699424,279031,731876,0.038704241667077394,0.014756165329381307,0.0369880629010296
3660,1084711,21619,8654,0.00045765472209348,0.0011432906675455216,0.05736342861760351
2096,142076,305281,72565,0.0038374988339164983,0.016144359974048957,0.007513491136601949
4457,34555,197395,30216,0.0015979310241248663,0.010438959309873179,0.00182739298843774
236,18793,24080,8447,0.00044670781575267224,0.0012734372207084583,0.0009938415983710158
2615,134964,173505,73893,0.003907728262035304,0.00917556997421184,0.00713738293420666
1946,38909,38909,42062,0.0022243902150099327,0.002057648206833281,0.002057648206833281
2144,710601,710601,710601,0.037579142959827706,0.037579142959827706,0.037579142959827706
594,668104,428319,206016,0.01089486887298479,0.022651053028929658,0.035331748376420426
2134,773726,339506,57936,0.0030638645688939054,0.017954301372668017,0.040917420557718964
1236,4323,1740660,4323,0.00022861582662469542,0.09205237676903592,0.00022861582662469542
79,755405,84586,943820,0.049912604553532275,0.004473212655766016,0.03994854002114921
1905,326410,202373,117462,0.006211814070550537,0.010702213898107677,0.017261737674894015
7086,133685,133685,133685,0.007069744802757901,0.007069744802757901,0.007069744802757901
3304,248892,143969,97308,0.005145997885078848,0.007613599801834553,0.013162306342880799
4749,29924,32429,383304,0.020270497526845305,0.0017149624431210381,0.0015824890113156108
90,210232,197981,246009,0.013009842908192158,0.010469949102702712,0.011117826153819793
3039,297918,302765,315411,0.016680070897876893,0.01601130482258291,0.01575497798667037
1072,59684,57604,53096,0.0028079079182199464,0.0030463072118642044,0.0031563051113273934
404,354419,526280,135473,0.007164300689411835,0.027831583908407287,0.01874295458165578
1805,8779,8779,15505,0.0008199603034503591,0.0004642651727823736,0.0004642651727823736
4027,114392,114164,103566,0.005476943488367616,0.006037403939574769,0.0060494614016313114
1901,4322,4322,4322,0.00022856294301918428,0.00022856294301918428,0.00022856294301918428
4113,47458,47458,47458,0.0025097501503480906,0.0025097501503480906,0.0025097501503480906
4155,19456,36928,57584,0.0030452495397539814,0.0019528857843156956,0.0010289034288249073
3104,233766,218114,226930,0.012000876598644954,0.011534654732458667,0.012362388925919164
398,315698,185953,251137,0.013281030037253326,0.009833865095614616,0.016695248492658594
7555,46860,47392,46580,0.002463318344709302,0.002506259832384355,0.0024781257542524234
2330,161345,214331,160946,0.008511404772597323,0.011334596052809991,0.008532505331196271
3213,334736,360591,245123,0.01296298803370928,0.019069352194870586,0.017702046574379838
3729,113924,113883,78160,0.0041333826067513745,0.006022543646426137,0.006024711874252094
4766,646953,484732,51219,0.0027086453906755206,0.025634375866630085,0.03421320723625412
4112,8645,8645,8645,0.0004571787696438797,0.0004571787696438797,0.0004571787696438797
557,115152,284152,107886,0.005705400664175778,0.015026982273203898,0.006089652941819784
814,243648,232356,195304,0.010328379690749368,0.012287823042148446,0.012884984715580335
1670,191530,171591,220672,0.011669930995356185,0.0090743507532635,0.010128796963550292
1409,66022,112805,69183,0.0036586464800777937,0.005965535119685119,0.0034914814030570533
2553,222705,200405,166849,0.008823576695929633,0.010598138962461735,0.01177744336536035
501,477419,437001,628817,0.03325411016670393,0.023110188491977452,0.025247638059527056
72,388841,527610,215841,0.011414450297131826,0.027901919103737117,0.020563314050560534
2878,43688,45444,48612,0.002570777831107956,0.0024032425688486373,0.0023103789575710603
7147,112995,238865,41207,0.0021791747322979006,0.012632042430420511,0.005975583004732237
