stop,normBetwCentral
3133,0.00989246013052097
1590,0.001481111139550739
3508,0.001816234547674888
2085,0.005632368404964882
705,0.029107718192996814
3007,0.00228642268427451
888,0.006687290567701274
1700,0.003550816808440562
1368,0.0033146915098332835
3189,0.001368627710628526
2072,0.0015435137940538945
7086,0.00316905006025558
969,0.036528927437981806
2971,0.0099699346125948
4470,0.0031365266428662235
2106,0.011736458571089209
1477,0.002238034185231809
2593,0.0065404856788023255
1203,0.002177958409371144
277,0.019820722461972987
2407,0.0012639710553219627
1406,0.00726398628580035
1325,0.0053930172064214224
2351,0.03227185007793986
2201,0.0038892190001064016
61,0.0012819514811957533
3827,0.0009278428586931023
4111,0.002513452002733871
1394,0.0310278161418956
2521,0.014491271349375962
2101,0.012907513131528084
3289,0.015236718652661112
7241,0.0024999137997230173
1969,0.003290417934903666
7264,0.005816562002960214
1162,0.027188889450630298
3828,0.0008331283212226351
4726,0.005506716958270393
2170,0.002076263235973205
1484,0.002875070097219105
3629,0.009282130439316805
2637,0.003499413943883725
2885,0.0038235375620615545
1353,0.0075495577555605535
2025,0.0037708654909724506
6889,2.385050608552802e-05
427,0.025391217048489824
2845,0.0007974847711081209
1719,0.006896392343892356
1975,0.01316696010016578
372,0.01316050830029342
2023,0.004206890818411872
2164,0.002126819962841864
2733,0.003965054090409389
4489,0.025101785075527308
3123,0.005660132297858236
7191,0.0004354436077787976
879,0.01011018193441037
970,0.002970366354350195
3802,2.316301921388309e-05
3049,0.002645237947667653
1882,0.02099315199615515
580,0.002500707053805684
1906,0.004310331150791678
1118,0.0008551807847207841
844,0.010176973928170949
745,0.009514712536354835
359,0.007735073443693663
632,0.03078264774674591
2945,0.01884650068124661
1551,0.0031364737592607128
1056,0.004060667649173545
2577,0.005428872290957982
1212,0.02048187329807337
2819,0.003248798537366392
3394,0.003041917872606779
811,0.004683266336856297
4749,0.003091734228998281
2558,0.004691357528499504
2083,0.016810217451039833
1396,0.02887973696963825
3241,0.005027591492339387
1775,0.013454964215779495
1465,0.005667694653446329
937,0.0334949421062017
413,0.022469292076787842
3025,0.011355643727803429
3124,0.0069247908400518424
1657,0.0016076087239334064
7135,0.0460197365846456
1039,0.00166578068999567
335,0.0008875984348991182
1375,0.007560980614350961
1338,0.003999269783175103
212,0.00948271795502059
7606,0.0013443012520933974
3692,0.0
1588,0.0015172835257203645
2904,0.0027653366157834717
3375,0.0047885047118234846
1987,0.0022107462447880557
2430,0.0015036395554984885
598,0.028876934138546164
3297,0.0026115510909570515
2938,0.005540456698586506
31,0.03764054082582615
2602,0.019626798280563604
1085,0.0030815805767401405
1415,0.0014462079599133811
1977,0.003916083871706066
3707,0.003608142636814647
1277,0.004237774844030383
3945,0.0036812277796310537
2185,0.02589038540090956
2485,0.0030391150415146877
2532,0.0017675287469991199
7050,0.0009639094776517056
964,0.02255797788323004
1346,0.00904997141112286
4553,0.002557239628097102
1135,0.0020410956383082914
2372,0.003213578056095967
3242,0.006118844692061938
4106,0.002262889479822049
385,0.006582898330422267
4026,0.008032014888638762
6955,0.00035088272256647096
1088,0.0004324821258701733
696,0.009093600385669559
3067,0.0013090278872174613
670,0.0053666811708768716
2607,0.006714948693383605
238,0.014537491620592709
686,0.0047136744100252075
3694,0.0012926868531145165
3173,0.0011691507506404733
2884,0.0045792442848158685
1637,0.015825260298394688
3981,0.0050912104697692995
1329,0.0036461659491771633
2082,0.014273813963514119
2366,0.011513448406648695
1862,0.005100517984339261
3122,0.006079657940378178
7013,0.0007492020392764423
1754,0.0053489651630306365
361,0.019887355804917038
991,0.017166811603001503
1565,0.010578889330055678
925,0.01335332192598707
309,0.00981472123041958
67,0.012726122364624844
2656,0.010305745507590596
3050,0.003746697683253857
3742,0.0008863292283668505
3681,0.0006203775762512843
576,0.0047345105505966
2230,0.001985356318099541
301,0.023628606476803243
1760,0.0019145980539256237
4122,0.006196266290530259
7152,0.00289696390990072
933,0.03569823176261268
3155,0.011173036637973432
2497,0.003298667777363405
2251,0.030422404626003968
2838,0.00529015859370224
1745,0.006419487989392818
2848,0.0005338599976350451
209,0.009184718837965268
1896,0.030654087701748312
4094,0.004419958865016289
2862,0.006900094196278137
7092,0.0022468657473521713
820,0.005638397135993153
1646,0.01071115122743906
3145,0.011675060705090766
1893,0.02490257253356681
2925,0.004694001708775061
1292,0.00467919429923194
1556,0.0006709343031199423
3098,0.0016297669546425776
2574,0.0044395257990554144
3104,0.011845716100075242
2382,0.021058516132566932
2066,0.0010194372634384117
4045,0.0022585001405646234
7205,0.0015564173937986144
2070,0.003401790808110145
3082,0.0030459899102311372
2507,0.002126714195630841
3514,0.0014305015290765695
3693,0.00043041966525523846
4118,0.0022735719681353014
499,0.0259204761724454
1621,0.010262433834676964
4263,0.0018035424823522122
2110,0.012445046001333091
1170,0.023575775754897603
3245,0.008079663017204307
6922,0.0001246995417952884
3083,0.0026400024707220497
4774,0.0005489847088112336
1443,0.008288288840945788
1795,0.017350582132152747
661,0.0038713972250491455
4317,0.005460602454264671
3367,0.0030334564957249953
586,0.016957815594021444
3786,0.0032061214677188954
2006,0.004559412932749188
7091,0.002413237570290244
666,0.0022321112214145605
7319,0.00299638508826168
6942,0.00028165808295237745
3142,0.011477751972928671
3047,0.0019819717673468275
2878,0.003438492030334882
3728,0.0037634617862008905
3143,0.011420267493738052
1258,0.005721212862223612
2375,0.0029244633847665177
2365,0.032748754432439395
2361,0.02551554640504653
3210,0.007997217476212425
2737,0.004406896614455036
1564,0.000724135210264158
640,0.01993637890722587
3637,0.014581120595139403
2195,0.006038990447740104
3584,0.0075373945262929894
682,0.003248639886549859
2182,0.02291478356961376
1623,0.004281615352999125
7323,0.004103344718821043
3131,0.009041827335874143
3088,0.0027350343098255835
3350,0.005410997632295214
1287,0.004126825039667993
267,0.038129449758776725
609,0.02086036126271665
1665,0.015675916996431203
684,0.003952044723453646
2349,0.03201346078141239
2981,0.021506863340090446
1226,0.00564696428008596
2964,0.0028010859331090076
939,0.004366652190661052
1289,0.004171247268297358
4119,0.002411227993280821
1058,0.007445853005153191
1082,0.00352860569412588
2320,0.0027179529052454823
895,0.0069052767896182286
2044,0.011272563583545414
6894,7.546490506440906e-05
779,0.005011567759869508
950,0.003124786482442749
541,0.001404218377137529
2163,0.002734082404926383
2316,0.004028884602261345
2488,0.0037579090076222204
1030,0.02218546576600951
6896,9.947406196647052e-05
79,0.040937199026180135
1181,0.018894095926206642
1900,0.030272796906012932
2716,0.005173338709128113
4418,0.011525452985099726
4179,0.005903502650420541
3509,0.0023916081756361843
693,0.0067605872449397275
77,0.011043207386443562
